guid/image,conf,label,xmin,ymin,xmax,ymax
e024982a-233f-45b4-a6ec-505f5b0c2649/0006,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0012,0.5060481429100037,1,0.481,0.369,0.645,0.562
e024982a-233f-45b4-a6ec-505f5b0c2649/0068,0.8903903365135193,0,0.232,0.091,0.587,0.614
e024982a-233f-45b4-a6ec-505f5b0c2649/0033,0,2,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0080,0.9888888001441956,0,0.354,0.024,0.714,0.581
e024982a-233f-45b4-a6ec-505f5b0c2649/0049,0.9942477941513062,0,0.362,0.025,0.695,0.589
e024982a-233f-45b4-a6ec-505f5b0c2649/0027,0.6086426973342896,1,0.451,0.368,0.635,0.559
e024982a-233f-45b4-a6ec-505f5b0c2649/0071,0.7182753682136536,0,0.447,0.000,0.768,0.641
e024982a-233f-45b4-a6ec-505f5b0c2649/0065,0.97037672996521,0,0.320,0.000,0.753,0.636
e024982a-233f-45b4-a6ec-505f5b0c2649/0044,0.9730591773986816,0,0.315,0.023,0.666,0.606
e024982a-233f-45b4-a6ec-505f5b0c2649/0050,0.9905868172645569,0,0.377,0.038,0.697,0.562
e024982a-233f-45b4-a6ec-505f5b0c2649/0035,0.7119240164756775,1,0.000,0.233,0.330,0.605
e024982a-233f-45b4-a6ec-505f5b0c2649/0021,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0000,0,2,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0014,0.696657657623291,1,0.467,0.366,0.661,0.567
e024982a-233f-45b4-a6ec-505f5b0c2649/0042,0.9906548857688904,0,0.297,0.048,0.636,0.616
e024982a-233f-45b4-a6ec-505f5b0c2649/0038,0,2,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0056,0.976925790309906,0,0.365,0.048,0.706,0.629
e024982a-233f-45b4-a6ec-505f5b0c2649/0077,0.9856633543968201,0,0.364,0.014,0.712,0.589
e024982a-233f-45b4-a6ec-505f5b0c2649/0063,0.9817538857460022,0,0.351,0.053,0.667,0.604
e024982a-233f-45b4-a6ec-505f5b0c2649/0019,0.6923909187316895,1,0.473,0.376,0.642,0.549
e024982a-233f-45b4-a6ec-505f5b0c2649/0013,0.5143266916275024,1,0.492,0.355,0.645,0.529
e024982a-233f-45b4-a6ec-505f5b0c2649/0069,0.6907119750976562,0,0.543,0.106,0.845,0.623
e024982a-233f-45b4-a6ec-505f5b0c2649/0007,0.6200504302978516,1,0.493,0.374,0.647,0.542
e024982a-233f-45b4-a6ec-505f5b0c2649/0026,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0032,0.5390357375144958,1,0.439,0.350,0.654,0.560
e024982a-233f-45b4-a6ec-505f5b0c2649/0081,0.9821392893791199,0,0.351,0.015,0.713,0.585
e024982a-233f-45b4-a6ec-505f5b0c2649/0048,0.9932496547698975,0,0.333,0.030,0.678,0.590
e024982a-233f-45b4-a6ec-505f5b0c2649/0064,0.9810530543327332,0,0.341,0.061,0.682,0.599
e024982a-233f-45b4-a6ec-505f5b0c2649/0070,0.8720785975456238,0,0.514,0.084,0.830,0.598
e024982a-233f-45b4-a6ec-505f5b0c2649/0051,0.9939296245574951,0,0.388,0.048,0.709,0.570
e024982a-233f-45b4-a6ec-505f5b0c2649/0045,0.9754387140274048,0,0.332,0.036,0.671,0.576
e024982a-233f-45b4-a6ec-505f5b0c2649/0020,0.5666673183441162,1,0.482,0.368,0.643,0.543
e024982a-233f-45b4-a6ec-505f5b0c2649/0034,0.600538969039917,1,0.000,0.231,0.336,0.618
e024982a-233f-45b4-a6ec-505f5b0c2649/0015,0.5189900994300842,1,0.488,0.417,0.632,0.528
e024982a-233f-45b4-a6ec-505f5b0c2649/0001,0,2,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0057,0.9752925038337708,0,0.363,0.060,0.695,0.626
e024982a-233f-45b4-a6ec-505f5b0c2649/0043,0.9747449159622192,0,0.311,0.070,0.664,0.626
e024982a-233f-45b4-a6ec-505f5b0c2649/0039,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0062,0.9853726029396057,0,0.351,0.056,0.670,0.608
e024982a-233f-45b4-a6ec-505f5b0c2649/0018,0.6770524978637695,1,0.456,0.359,0.650,0.547
e024982a-233f-45b4-a6ec-505f5b0c2649/0076,0.9820079803466797,0,0.363,0.023,0.710,0.593
e024982a-233f-45b4-a6ec-505f5b0c2649/0031,0.6334984302520752,1,0.435,0.361,0.650,0.553
e024982a-233f-45b4-a6ec-505f5b0c2649/0082,0.9848441481590271,0,0.345,0.021,0.710,0.593
e024982a-233f-45b4-a6ec-505f5b0c2649/0025,0.6748831868171692,1,0.474,0.376,0.634,0.553
e024982a-233f-45b4-a6ec-505f5b0c2649/0004,0,0,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0010,0,2,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0046,0.9762117266654968,0,0.335,0.027,0.665,0.619
e024982a-233f-45b4-a6ec-505f5b0c2649/0052,0.9895533323287964,0,0.368,0.051,0.687,0.603
e024982a-233f-45b4-a6ec-505f5b0c2649/0028,0.5746251940727234,1,0.458,0.352,0.645,0.554
e024982a-233f-45b4-a6ec-505f5b0c2649/0073,0.9867161512374878,0,0.372,0.011,0.724,0.601
e024982a-233f-45b4-a6ec-505f5b0c2649/0009,0.5378318428993225,1,0.476,0.368,0.654,0.550
e024982a-233f-45b4-a6ec-505f5b0c2649/0067,0.9630489349365234,0,0.312,0.000,0.755,0.654
e024982a-233f-45b4-a6ec-505f5b0c2649/0002,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0078,0.9896141886711121,0,0.362,0.007,0.707,0.581
e024982a-233f-45b4-a6ec-505f5b0c2649/0016,0.564482569694519,1,0.479,0.388,0.638,0.549
e024982a-233f-45b4-a6ec-505f5b0c2649/0084,0.9751482009887695,0,0.330,0.044,0.706,0.586
e024982a-233f-45b4-a6ec-505f5b0c2649/0037,0.5090929865837097,1,0.465,0.367,0.644,0.551
e024982a-233f-45b4-a6ec-505f5b0c2649/0023,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0059,0.9754530191421509,0,0.369,0.055,0.705,0.625
e024982a-233f-45b4-a6ec-505f5b0c2649/0075,0.9871610999107361,0,0.366,0.004,0.702,0.592
e024982a-233f-45b4-a6ec-505f5b0c2649/0061,0.9816292524337769,0,0.364,0.045,0.686,0.616
e024982a-233f-45b4-a6ec-505f5b0c2649/0040,0.971959114074707,0,0.372,0.027,0.731,0.594
e024982a-233f-45b4-a6ec-505f5b0c2649/0054,0.9806231260299683,0,0.368,0.046,0.704,0.622
e024982a-233f-45b4-a6ec-505f5b0c2649/0024,0.5904195308685303,1,0.486,0.377,0.650,0.564
e024982a-233f-45b4-a6ec-505f5b0c2649/0030,0.520466685295105,1,0.464,0.370,0.642,0.574
e024982a-233f-45b4-a6ec-505f5b0c2649/0083,0.9904897212982178,0,0.341,0.016,0.697,0.566
e024982a-233f-45b4-a6ec-505f5b0c2649/0011,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0005,0.5390716791152954,1,0.468,0.364,0.656,0.558
e024982a-233f-45b4-a6ec-505f5b0c2649/0053,0.9676463007926941,0,0.373,0.059,0.706,0.575
e024982a-233f-45b4-a6ec-505f5b0c2649/0029,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0047,0.9865449070930481,0,0.336,0.028,0.670,0.613
e024982a-233f-45b4-a6ec-505f5b0c2649/0066,0.976539134979248,0,0.323,0.000,0.762,0.643
e024982a-233f-45b4-a6ec-505f5b0c2649/0072,0.9846873879432678,0,0.387,0.012,0.727,0.592
e024982a-233f-45b4-a6ec-505f5b0c2649/0008,0,1,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0017,0.6333225965499878,1,0.470,0.377,0.638,0.546
e024982a-233f-45b4-a6ec-505f5b0c2649/0003,0.5047847628593445,1,0.465,0.402,0.663,0.584
e024982a-233f-45b4-a6ec-505f5b0c2649/0079,0.9798558950424194,0,0.346,0.014,0.678,0.591
e024982a-233f-45b4-a6ec-505f5b0c2649/0022,0,2,-1,-1,-1,-1
e024982a-233f-45b4-a6ec-505f5b0c2649/0058,0.9653730392456055,0,0.368,0.063,0.700,0.622
e024982a-233f-45b4-a6ec-505f5b0c2649/0085,0.9913028478622437,0,0.343,0.023,0.689,0.562
e024982a-233f-45b4-a6ec-505f5b0c2649/0036,0.7476698160171509,1,0.457,0.369,0.635,0.558
